Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2006,-0.016,0.215,0.012,-0.119,-0.113,0.033,-0.115,-0.072,-0.117,-0.062,-0.04,0.012,-0.032,-0.026,0.093,-0.073,-0.051,-0.073
2007,0.196,0.087,0,0.101,-0.004,-0.011,-0.015,-0.103,-0.18,-0.103,-0.102,-0.209,-0.029,-0.01,0.098,0.032,-0.043,-0.128
2008,-0.423,-0.344,0.015,-0.153,-0.169,-0.253,-0.089,-0.198,-0.146,-0.128,-0.082,-0.078,-0.171,-0.182,-0.325,-0.102,-0.18,-0.118
2009,-0.009,-0.027,-0.401,-0.2,-0.075,0.001,0.099,-0.011,-0.03,-0.09,-0.003,0.019,-0.061,-0.069,-0.038,-0.225,0.03,-0.041
2010,0.061,0.132,0.15,0.079,0.001,-0.019,-0.128,-0.061,-0.079,-0.085,0.048,-0.109,-0.001,0.01,0.071,0.077,-0.069,-0.039
2011,-0.136,-0.158,-0.138,-0.04,-0.111,-0.027,0.116,0.05,-0.092,-0.117,-0.25,-0.178,-0.09,-0.084,-0.134,-0.097,0.046,-0.153
2012,-0.236,-0.173,-0.183,-0.009,0.088,0.032,-0.102,-0.039,-0.014,0.074,-0.024,-0.173,-0.063,-0.063,-0.195,-0.034,-0.036,0.012
2013,0.021,-0.125,-0.028,-0.144,-0.125,0.03,-0.181,-0.091,0.013,-0.073,0.003,0.048,-0.054,-0.073,-0.092,-0.099,-0.081,-0.019
2014,0.043,-0.176,-0.055,0.087,0.133,0.041,0.029,0.119,0.125,0.1,-0.028,0.102,0.043,0.039,-0.029,0.055,0.063,0.066
2015,0.108,0.222,0.151,-0.053,0.046,0.03,0.029,0.091,0.156,0.256,0.172,0.358,0.13,0.109,0.144,0.048,0.05,0.194
2016,0.375,0.562,0.489,0.333,0.216,0.176,0.242,0.245,0.247,0.166,0.266,0.22,0.295,0.306,0.432,0.346,0.221,0.226
2017,0.324,0.399,0.401,0.12,0.178,0.061,0.133,0.094,0.104,0.087,0.031,0.175,0.176,0.179,0.314,0.233,0.096,0.074
2018,0.125,0.183,0.142,0.103,0.054,0.035,0.031,-0.035,-0.017,0.151,-0.057,0.113,0.069,0.074,0.161,0.1,0.01,0.025
2019,0.183,0.245,0.427,0.23,0.159,0.237,0.274,0.208,0.231,0.319,0.242,0.352,0.259,0.239,0.181,0.272,0.24,0.264
2020,0.325,0.39,0.305,0.334,0.28,0.266,0.25,0.231,0.255,0.186,0.33,0.046,0.266,0.292,0.356,0.306,0.249,0.257
2021,0.103,0.07,0.093,0.078,0.096,0.118,0.204,0.128,0.152,0.107,0.081,0.177,0.117,0.106,0.073,0.089,0.15,0.113
2022,0.253,0.255,0.352,0.231,0.107,0.233,0.166,0.068,0.073,0.087,-0.163,0.067,0.144,0.153,0.228,0.23,0.156,-0.001
2023,0.126,0.284,0.494,0.24,0.234,0.422,0.536,0.471,0.606,0.448,0.431,0.525,0.401,0.363,0.159,0.322,0.476,0.495
2024,0.497,0.67,0.554,0.432,0.381,0.448,0.392,0.427,0.373,0.244,0.168,0.287,0.406,0.426,0.564,0.456,0.423,0.262
2025,0.484,0.387,0.38,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,0.386,*******,*******,*******
Global Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,0.048,0.099,0.09,-0.152,-0.07,-0.142,-0.047,-0.181,-0.084,-0.211,-0.188,-0.241,-0.09,-0.081,0.006,-0.044,-0.123,-0.161
2003,0.021,-0.102,-0.192,-0.18,-0.109,-0.192,-0.084,-0.071,-0.1,-0.032,-0.245,0.065,-0.102,-0.127,-0.108,-0.16,-0.116,-0.126
2004,-0.143,0.038,-0.162,-0.124,-0.343,-0.23,-0.402,-0.264,-0.225,-0.143,-0.047,-0.174,-0.185,-0.165,-0.013,-0.21,-0.299,-0.139
2005,0.022,-0.088,-0.048,-0.062,-0.084,-0.024,-0.051,-0.117,-0.005,0.008,-0.033,-0.006,-0.041,-0.055,-0.08,-0.065,-0.064,-0.01
2006,-0.165,0.05,-0.16,-0.268,-0.237,-0.01,-0.12,-0.013,-0.064,-0.06,-0.038,0.11,-0.081,-0.091,-0.04,-0.221,-0.048,-0.054
2007,0.294,0.017,-0.077,0.03,-0.028,-0.057,-0.064,-0.116,-0.124,-0.168,-0.182,-0.183,-0.055,-0.031,0.14,-0.025,-0.079,-0.158
2008,-0.425,-0.305,-0.043,-0.193,-0.215,-0.176,-0.06,-0.257,-0.111,-0.084,-0.084,-0.144,-0.175,-0.178,-0.305,-0.15,-0.164,-0.093
2009,-0.076,-0.154,-0.256,-0.12,-0.063,-0.028,0.077,-0.029,-0.008,-0.097,0.018,-0.008,-0.062,-0.073,-0.125,-0.146,0.007,-0.029
2010,0.024,0.154,0.132,0.119,0.043,0.009,-0.029,-0.048,-0.091,-0.033,0.033,-0.227,0.007,0.025,0.057,0.098,-0.023,-0.03
2011,-0.198,-0.212,-0.136,-0.087,-0.18,-0.046,0.039,0.031,-0.162,-0.098,-0.182,-0.082,-0.109,-0.121,-0.212,-0.134,0.008,-0.147
2012,-0.254,-0.202,-0.224,-0.003,0.071,-0.023,-0.073,-0.059,0.001,0.047,0.009,-0.152,-0.072,-0.066,-0.179,-0.052,-0.052,0.019
2013,-0.012,-0.067,-0.116,-0.202,-0.111,0.027,-0.062,-0.01,0.045,-0.056,0.06,0.02,-0.04,-0.055,-0.077,-0.143,-0.015,0.016
2014,0.044,-0.137,-0.012,0.074,0.152,0.005,-0.077,0.116,0.155,0.052,-0.104,0.106,0.031,0.024,-0.024,0.071,0.015,0.034
2015,0.146,0.227,0.169,0.022,0.086,0.147,0.069,0.075,0.118,0.321,0.287,0.489,0.18,0.148,0.159,0.092,0.097,0.242
2016,0.456,0.68,0.563,0.36,0.244,0.141,0.181,0.299,0.178,0.116,0.145,0.181,0.295,0.321,0.542,0.389,0.207,0.146
2017,0.3,0.449,0.374,0.208,0.203,0.042,0.156,0.152,0.026,0.136,0.108,0.252,0.201,0.195,0.31,0.262,0.117,0.09
2018,0.099,0.165,0.092,0.155,0.104,0.1,0.172,0.065,0.083,0.264,0.061,0.246,0.134,0.134,0.172,0.117,0.112,0.136
2019,0.211,0.268,0.379,0.276,0.155,0.238,0.277,0.231,0.206,0.237,0.212,0.434,0.26,0.245,0.242,0.27,0.248,0.219
2020,0.452,0.553,0.389,0.389,0.285,0.247,0.227,0.142,0.243,0.118,0.317,0.117,0.29,0.316,0.48,0.354,0.205,0.226
2021,0.091,-0.046,0.1,0.025,0.081,0.179,0.257,0.09,0.195,0.231,0.148,0.193,0.129,0.122,0.054,0.069,0.175,0.192
2022,0.19,0.205,0.252,0.1,0.129,0.257,0.278,0.228,0.165,0.214,-0.046,0.119,0.174,0.18,0.196,0.16,0.254,0.111
2023,0.153,0.283,0.442,0.257,0.225,0.416,0.532,0.472,0.757,0.588,0.64,0.689,0.455,0.407,0.185,0.308,0.473,0.662
2024,0.532,0.757,0.595,0.584,0.447,0.573,0.541,0.582,0.506,0.583,0.517,0.586,0.567,0.576,0.659,0.542,0.566,0.535
2025,0.644,0.57,0.567,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,0.6,*******,*******,*******
